,score
165,7.450991961268162
166,5.899617629998725
167,6.28255268853953
168,5.775270900965489
169,4.871245397768598
170,4.523112610504482
171,5.6332793974153
172,4.82287685175873
173,3.2433576374399715
174,4.8323409644408395
175,5.538620639626072
176,5.879453144502486
177,4.289617844321677
178,4.5293526952013705
179,5.05171247357294
180,5.315361235064745
181,5.660326867172493
182,5.2025195884579105
183,4.957963161891791
184,5.567827420704553
185,5.737004651050704
186,5.823263429696686
187,6.1311933445351965
188,5.960670030609804
189,7.0407266476381825
190,6.130354109006772
191,8.23590943909233
192,9.966607055973752
193,12.107750262016566
194,13.643684861331923
195,10.01832462220129
196,18.422619003803213
197,18.22011192511192
198,17.74199411699411
199,15.39905667701863
200,18.671008714143728
201,26.889560566067917
202,21.551550470854007
203,18.66582100866969
204,21.722319980876964
205,27.119253593628596
206,27.511246716286823
207,27.44435613576238
208,19.85736432072829
209,20.11993464989789
210,18.657404482054936
211,23.00229507689163
212,20.639982471912614
213,16.525168285852917
214,15.029923919953871
215,18.324136354391033
216,19.651659490787463
217,25.873906841030482
218,22.358395440699912
219,19.48481698319959
220,25.804767940392942
221,21.761252000582328
222,22.434189501687264
223,27.908501703245577
224,20.27677317926682
225,19.43196079924144
226,20.463353991550154
227,17.30276184253711
228,19.5749593205289
229,18.55602718553377
230,20.59025009275665
231,14.719808363836334
232,20.114333071168584
233,20.87177975406236
234,33.65670647402541
235,24.76319136467575
236,24.27828321237957
237,19.8613843370276
238,17.719573731156974
239,12.797095324482877
240,21.851996254189835
241,22.288742772035683
242,21.09787534399724
243,21.339126385236696
244,14.399815530970425
245,24.881439227125316
246,20.062008023930982
247,17.188515071559785
248,19.453435151157795
249,14.674619053891394
250,12.298462984296627
251,15.43715218456366
252,12.643969856999673
253,10.557265320382362
254,13.676166985393335
255,14.811568846959716
256,14.992611693741324
257,9.837429353139594
258,22.991663725158148
259,20.98667469353398
260,26.973034398286174
261,16.644549326632095
262,18.794926696408957
263,21.631481042996246
264,15.584953208264022
265,22.870155667230186
266,16.8118974786348
267,17.558178550587574
268,14.477589619875623
269,12.087117082637677
270,13.62770292733978
271,9.521353975885226
272,12.642568764916714
273,11.93521710927961
274,11.183282607735947
275,14.065412466573795
276,13.768808399671762
277,15.6024585613587
278,13.466115276356899
279,14.191703499502243
280,9.349761114267801
281,11.222491784391293
282,14.351789292035031
283,10.879065142222439
284,9.199345863492924
285,12.34221672179421
286,8.752390005075757
287,8.607752709286407
288,6.785974525242544
289,7.420316915174544
290,11.682036350528028
291,9.869049962777538
292,12.430646652002107
293,9.492862777278404
294,8.920051750886925
295,11.841525670320257
296,16.809360042735044
297,10.293542143149702
298,10.63315517545906
299,7.343308646392158
300,14.48420299267693
301,10.348228097321828
302,8.151355605235052
303,8.88792340142155
304,7.365748494372595
305,10.132273086772887
306,8.214835757352677
307,5.933658170771429
308,15.52774235731463
309,7.626357174978069
310,7.641200491967964
311,6.90728223513857
312,7.735906952107396
313,10.993713526295458
314,7.014610135437522
315,18.118757261867373
316,9.63940064908377
317,9.00606731316605
318,6.846484128268131
319,6.552772761572453
320,6.551811580666709
